slug,name,commune_nom,old_lat,old_lon,new_lat,new_lon,distance_m,confiance,n_sources,sources_used,inter_max_m,osm_match,wikidata_match,ign_match,applied,pieve_declared,pieve_geocoded,pieve_concordant,doyenne_declared,doyenne_geocoded,doyenne_concordant,note
santa_maria_arbori,Santa Maria (Arbori),Arbori,42.09,8.78,42.10184,8.81133,2901.0,FAIBLE,2,osm+ign,9068.4,"42.14142,8.79815",,"42.06225,8.82452",,pieve_vico,pieve_cinarca,False,doyenne_piana_vico_sari,doyenne_piana_vico_sari,True,
santa_maria_aullene_village,Santa Maria (Aullène village),Aullène,41.712,9.078,41.56622,9.04224,16480.4,FAIBLE,1,ign,0.0,,,"41.56622,9.04224",,pieve_tallano,pieve_freto,False,doyenne_extreme_sud,doyenne_extreme_sud,True,DIST_OVER_5000m
santa_maria_bonifacio_haute_ville,Santa Maria (Bonifacio haute ville),Bonifacio,41.42,9.16,41.40279,9.20040,3874.1,FAIBLE,1,ign,0.0,,,"41.40279,9.20040",,pieve_bonifacio,pieve_bonifacio,True,doyenne_extreme_sud,doyenne_extreme_sud,True,
santa_maria_figari_village,Santa Maria (Figari village),Figari,41.488,9.108,41.70963,9.00660,26046.8,FAIBLE,1,ign,0.0,,,"41.70963,9.00660",,pieve_freto,pieve_sartene,False,doyenne_extreme_sud,doyenne_prunelli_taravo_valinco,False,DIST_OVER_5000m
santa_maria_grossa,Santa Maria (Grossa),Grossa,41.58,8.94,42.55730,8.76823,109591.2,FAIBLE,1,ign,0.0,,,"42.55730,8.76823",,pieve_sartene,,?,doyenne_extreme_sud,,?,DIST_OVER_5000m
santa_maria_guagno,Santa Maria (Guagno),Guagno,42.08,8.86,42.90888,9.35127,100583.8,FAIBLE,1,ign,0.0,,,"42.90888,9.35127",,pieve_sorroinsu,pieve_luri,False,doyenne_piana_vico_sari,doyenne_du_cap,False,DIST_OVER_5000m
santa_maria_lopigna,Santa Maria (Lopigna),Lopigna,42.06,8.8,42.74634,9.44317,92806.9,FAIBLE,1,ign,0.0,,,"42.74634,9.44317",,pieve_cinarca,pieve_brando,False,doyenne_piana_vico_sari,doyenne_du_cap,False,DIST_OVER_5000m
santa_maria_maggiore_bonifacio_vieille_ville,Santa Maria Maggiore (Bonifacio vieille ville),Bonifacio,41.387,9.16,41.40689,9.21183,4856.2,FAIBLE,1,ign,0.0,,,"41.40689,9.21183",,pieve_bonifacio,pieve_bonifacio,True,doyenne_extreme_sud,doyenne_extreme_sud,True,RETRY_VARIANT:Santa Maria Maggiore
santa_maria_monacia_d_aullene,Santa Maria (Monacia-d'Aullène),Monacia-d'Aullène,41.65,9.03,41.51678,9.01197,14889.7,FAIBLE,1,ign,0.0,,,"41.51678,9.01197",,pieve_freto,pieve_freto,True,doyenne_extreme_sud,doyenne_extreme_sud,True,DIST_OVER_5000m
santa_maria_pastricciola,Santa Maria (Pastricciola),Pastricciola,42.1,8.89,42.33304,8.98310,27023.3,FAIBLE,2,osm+ign,44226.8,"42.13442,8.96970",,"42.53166,8.99650",,pieve_cruzini,pieve_niolu,False,doyenne_piana_vico_sari,doyenne_cortenais,False,DIST_OVER_5000m
santa_maria_piana_haute,Santa Maria (Piana haute),Piana,42.152,8.635,42.90888,9.35127,102604.7,FAIBLE,1,ign,0.0,,,"42.90888,9.35127",,pieve_vico,pieve_luri,False,doyenne_piana_vico_sari,doyenne_du_cap,False,DIST_OVER_5000m
santa_maria_quenza,Santa Maria (Quenza),Quenza,41.81,9.29,41.76397,9.13516,13820.9,MOYENNE,2,osm+ign,120.0,"41.76398,9.13588",,"41.76395,9.13443",,pieve_verde,pieve_verde,True,doyenne_extreme_sud,doyenne_extreme_sud,True,DIST_OVER_5000m
santa_maria_renno_haut,Santa Maria (Renno haut),Renno,42.158,8.9,42.20337,8.82826,7771.4,FAIBLE,1,ign,0.0,,,"42.20337,8.82826",,pieve_sorroinsu,pieve_sorroinsu,True,doyenne_piana_vico_sari,doyenne_piana_vico_sari,True,DIST_OVER_5000m
santa_maria_rosazia,Santa Maria (Rosazia),Rosazia,42.14,8.92,41.84622,8.99506,33250.1,FAIBLE,1,ign,0.0,,,"41.84622,8.99506",,pieve_cruzini,pieve_ornano,False,doyenne_piana_vico_sari,doyenne_prunelli_taravo_valinco,False,DIST_OVER_5000m
santa_maria_san_gavino_di_carbini,Santa Maria (San-Gavino-di-Carbini),San-Gavino-di-Carbini,41.76,9.17,41.71260,9.15474,5420.7,FAIBLE,1,ign,0.0,,,"41.71260,9.15474",,pieve_carbini,pieve_carbini,True,doyenne_extreme_sud,doyenne_extreme_sud,True,DIST_OVER_5000m
santa_maria_sotta_village,Santa Maria (Sotta village),Sotta,41.545,9.048,42.16759,8.80022,72206.0,FAIBLE,1,ign,0.0,,,"42.16759,8.80022",,pieve_freto,pieve_vico,False,doyenne_extreme_sud,doyenne_piana_vico_sari,False,DIST_OVER_5000m
tour_d_omigna_cargese,Tour d'Omigna (Cargese),Cargèse,42.155,8.554,42.14032,8.57798,2564.3,FAIBLE,2,osm+ign,3282.6,"42.14652,8.55992",,"42.13411,8.59605",,pieve_vico,,?,doyenne_piana_vico_sari,,?,
tour_de_cargese_ruines,Tour de Cargese (ruines),Cargèse,42.13298,8.58941,42.15155,8.59304,2086.6,FAIBLE,1,ign,0.0,,,"42.15155,8.59304",,pieve_vico,pieve_vico,True,doyenne_piana_vico_sari,doyenne_piana_vico_sari,True,
tour_de_sagone_vico,Tour de Sagone (Vico),Vico,42.109,8.723,42.11173,8.68710,2977.0,MOYENNE,2,osm+ign,270.9,"42.11058,8.68655",,"42.11288,8.68764",True,pieve_vico,pieve_vico,True,doyenne_piana_vico_sari,doyenne_piana_vico_sari,True,
u_scumunicatu_cargese,U Scumunicatu (Cargèse),Cargèse,42.1465,8.6269,42.14645,8.61299,1147.1,FAIBLE,2,osm+ign,2264.3,"42.14649,8.62672",,"42.14641,8.59925",True,pieve_vico,pieve_vico,True,doyenne_piana_vico_sari,doyenne_piana_vico_sari,True,
vaccil_vecchiu,Vaccil-Vecchiu menhir,Sartène,41.5936,8.8766,,,,ABSENT,0,,0.0,,,,,pieve_sartene,,,doyenne_extreme_sud,,,
