slug,name,lat,lon,doyenne_declared,doyenne_real_geo,doyenne_mismatch,pieve_declared,pieve_real_geo,pieve_mismatch,in_corse_bbox,axe_corpus,note
santa_maria_meria,Santa Maria (Meria),42.93,9.38,doyenne_du_cap,doyenne_du_cap,FALSE,pieve_luri,pieve_pino,TRUE,TRUE,edifices_romans,
santa_maria_monacia_d_aullene,Santa Maria (Monacia-d'Aullène),41.65,9.03,doyenne_extreme_sud,doyenne_extreme_sud,FALSE,pieve_freto,pieve_tallano,TRUE,TRUE,edifices_romans,
santa_maria_moncale,Santa Maria (Moncale),42.51,8.85,doyenne_balagne,doyenne_balagne,FALSE,pieve_balagne,pieve_balagne,FALSE,TRUE,edifices_romans,
santa_maria_moriani_plage_haute,Santa Maria (Moriani-Plage haute),42.36,9.48,,doyenne_plaine_orientale,FALSE,,pieve_moriani,FALSE,TRUE,edifices_romans,
santa_maria_nessa,Santa Maria (Nessa),42.555,9.05,doyenne_balagne,doyenne_balagne,FALSE,pieve_caccia,pieve_balagne,TRUE,TRUE,edifices_romans,
santa_maria_novella_basse,Santa Maria (Novella basse),42.588,9.032,doyenne_balagne,doyenne_balagne,FALSE,pieve_caccia,pieve_balagne,TRUE,TRUE,edifices_romans,
santa_maria_pastricciola,Santa Maria (Pastricciola),42.1,8.89,doyenne_piana_vico_sari,doyenne_piana_vico_sari,FALSE,pieve_cruzini,pieve_cruzini,FALSE,TRUE,edifices_romans,
santa_maria_piana_haute,Santa Maria (Piana haute),42.152,8.635,doyenne_piana_vico_sari,doyenne_piana_vico_sari,FALSE,pieve_vico,pieve_vico,FALSE,TRUE,edifices_romans,
santa_maria_piedicorte_haute,Santa Maria (Piedicorte haute),42.408,9.318,doyenne_cortenais,doyenne_cortenais,FALSE,pieve_talcini,pieve_rostino,TRUE,TRUE,edifices_romans,
santa_maria_pietracorbara_littorale,Santa Maria (Pietracorbara littorale),42.862,9.443,doyenne_du_cap,doyenne_du_cap,FALSE,pieve_brando,pieve_luri,TRUE,TRUE,edifices_romans,
santa_maria_pietrapola,Santa Maria (Pietrapola),42.03,9.35,,doyenne_plaine_orientale,FALSE,,pieve_fiumorbo,FALSE,TRUE,edifices_romans,
santa_maria_poggio_d_oletta,Santa Maria (Poggio-d'Oletta),42.545,9.348,doyenne_du_cap,doyenne_du_golo,TRUE,pieve_nebbiu,pieve_mariana,TRUE,TRUE,edifices_romans,
santa_maria_polveroso,Santa Maria (Polveroso),42.345,9.395,doyenne_du_golo,doyenne_plaine_orientale,TRUE,pieve_orezza,pieve_alesani,TRUE,TRUE,edifices_romans,
santa_maria_ponte_leccia_morosaglia,Santa Maria (Ponte-Leccia (Morosaglia)),42.52,9.15,doyenne_cortenais,doyenne_cortenais,FALSE,pieve_rostino,pieve_caccia,TRUE,TRUE,edifices_romans,
santa_maria_propriano_baraci,Santa Maria (Propriano (Baraci)),41.67,8.9,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,FALSE,pieve_sartene,pieve_sartene,FALSE,TRUE,edifices_romans,
santa_maria_prunelli_di_fiumorbo,Santa Maria (Prunelli-di-Fiumorbo),41.94,9.33,doyenne_plaine_orientale,doyenne_plaine_orientale,FALSE,pieve_fiumorbo,pieve_verde,TRUE,TRUE,edifices_romans,
santa_maria_quenza,Santa Maria (Quenza),41.81,9.29,doyenne_extreme_sud,doyenne_plaine_orientale,TRUE,pieve_verde,pieve_verde,FALSE,TRUE,edifices_romans,
santa_maria_renno_haut,Santa Maria (Renno haut),42.158,8.9,doyenne_piana_vico_sari,doyenne_piana_vico_sari,FALSE,pieve_sorroinsu,pieve_sorroinsu,FALSE,TRUE,edifices_romans,
santa_maria_riventosa,Santa Maria (Riventosa),42.24,9.1,doyenne_cortenais,doyenne_cortenais,FALSE,pieve_venaco,pieve_talcini,TRUE,TRUE,edifices_romans,
santa_maria_rosazia,Santa Maria (Rosazia),42.14,8.92,doyenne_piana_vico_sari,doyenne_piana_vico_sari,FALSE,pieve_cruzini,pieve_cruzini,FALSE,TRUE,edifices_romans,
santa_maria_san_gavino_di_carbini,Santa Maria (San-Gavino-di-Carbini),41.76,9.17,doyenne_extreme_sud,doyenne_extreme_sud,FALSE,pieve_carbini,pieve_verde,TRUE,TRUE,edifices_romans,
santa_maria_santa_maria_di_lota,Santa Maria (Santa-Maria-di-Lota),42.74,9.44,doyenne_du_cap,doyenne_du_cap,FALSE,pieve_brando,pieve_brando,FALSE,TRUE,edifices_romans,
santa_maria_sarrola_carcopino,Santa Maria (Sarrola-Carcopino),41.97,8.81,doyenne_ajaccio,doyenne_ajaccio,FALSE,pieve_mezzana,pieve_mezzana,FALSE,TRUE,edifices_romans,
santa_maria_solaro,Santa Maria (Solaro),41.85,9.39,doyenne_plaine_orientale,doyenne_plaine_orientale,FALSE,pieve_verde,pieve_verde,FALSE,TRUE,edifices_romans,
santa_maria_sorio,Santa Maria (Sorio),42.56,9.27,doyenne_du_golo,doyenne_du_golo,FALSE,pieve_nebbiu,pieve_nebbiu,FALSE,TRUE,edifices_romans,
santa_maria_sotta_village,Santa Maria (Sotta village),41.545,9.048,doyenne_extreme_sud,doyenne_extreme_sud,FALSE,pieve_freto,pieve_freto,FALSE,TRUE,edifices_romans,
santa_maria_talasani,Santa Maria (Talasani),42.42,9.53,doyenne_du_golo,doyenne_du_golo,FALSE,pieve_tavagna,pieve_tavagna,FALSE,TRUE,edifices_romans,
santa_maria_tralonca,Santa Maria (Tralonca),42.448,9.162,doyenne_cortenais,doyenne_cortenais,FALSE,pieve_talcini,pieve_caccia,TRUE,TRUE,edifices_romans,
santa_maria_urbalacone,Santa Maria (Urbalacone),41.83,8.87,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,FALSE,pieve_ornano,pieve_ornano,FALSE,TRUE,edifices_romans,
santa_maria_urtaca,Santa Maria (Urtaca),42.64,9.12,doyenne_balagne,doyenne_balagne,FALSE,pieve_nebbiu,pieve_nebbiu,FALSE,TRUE,edifices_romans,
santa_maria_venaco_rescamone,Santa Maria (Venaco (Rescamone)),42.219,9.152,doyenne_cortenais,doyenne_cortenais,FALSE,pieve_venaco,pieve_venaco,FALSE,TRUE,edifices_romans,
santa_maria_vizzavona,Santa Maria (Vizzavona),42.24,9.06,,doyenne_cortenais,FALSE,,pieve_talcini,FALSE,TRUE,edifices_romans,
santa_maria_zicavo_haute,Santa Maria (Zicavo haute),41.875,9.108,doyenne_prunelli_taravo_valinco,doyenne_prunelli_taravo_valinco,FALSE,pieve_verde,pieve_verde,FALSE,TRUE,edifices_romans,
santa_mariona_talcini_bustanico,Santa Mariona (Talcini (Bustanico)),42.355,9.246,doyenne_cortenais,doyenne_cortenais,FALSE,pieve_rogna,pieve_vallerustie,TRUE,TRUE,edifices_romans,
santa_reparata_barbaggio,Santa Reparata (Barbaggio),42.655,9.165,doyenne_du_cap,doyenne_du_golo,TRUE,pieve_nebbiu,pieve_nebbiu,FALSE,TRUE,edifices_romans,
