Type ouvrage;Code ligne 1;Nom ligne 1;Etat;TENSION;Source donnée;Nombre circuit;Code ligne 2;Nom ligne 2;Code ligne 3;Nom ligne 3;Code ligne 4;Nom ligne 4;Code ligne 5;Nom ligne 5
AERIEN;BZGUIL31VALE6;LIAISON 63kV N0 1 BOURGUIGNON - VALENTIGNEY;EN EXPLOITATION;63kV;RTE;2;BZGUIL31ZLIEB;LIAISON 63kV N0 1 BOURGUIGNON - CHATELOT (LE) - LIEBVILLERS;;;;;;
AERIEN;CHAN5L61LARCA;RES. LIAISON 225kV N0 1  CHANCEAUX - LARCAY;EN EXPLOITATION;HORS TENSION;RTE;2;CHAN5L61LARCA;RES. LIAISON 225kV N0 1  CHANCEAUX - LARCAY;;;;;;
AERIEN;G.COUL61VAUPA;LIAISON 225kV N0 1 GRAND-COURONNE-VAUPALIERE (LA);EN EXPLOITATION;225kV;RTE;2;G.COUL63VAUPA;LIAISON 225kV N0 3 GRAND-COURONNE - VAUPALIERE (LA);;;;;;
AERIEN;MTAUBL32VERLH;LIAISON 63kV N0 2 MONTAUBAN-VERLHAGUET;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;CABRIL61REALT;LIAISON 225kV N0 1 CABRIES-REALTOR;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;COMPIL61MORU;LIAISON 225kV N0 1 COMPIEGNE-MORU;EN EXPLOITATION;225kV;RTE;2;MOIMOL61MORU;LIAISON 225kV N0 1 MOIMONT-MORU;;;;;;
AERIEN;BRUYEL31C.MET;LIAISON 63kV N0 1 BRUYERES (LES)-CROIX-DE-METZ;EN EXPLOITATION;63kV;RTE;2;C.METL32CHOLO;LIAISON 63kV N0 2 CHOLOY-CROIX-DE-METZ;;;;;;
AERIEN;E.BOTL61REALT;LIAISON 225kV N0 1 ENCO-DE-BOTTE-REALTOR;EN EXPLOITATION;225kV;RTE;2;REALTL61SEPTE;LIAISON 225kV N0 1 REALTOR-SEPTEMES;;;;;;
AERIEN;C.REGL61ZMAGN;LIAISON 225kV N0 1 CHAMPS-REGNAUD - CHAMPVANS - MAGNY(-SUR-TILLE);EN EXPLOITATION;225kV;RTE;2;C.REGL62VIELM;LIAISON 225kV N0 2 CHAMPS-REGNAUD-VIELMOULIN;;;;;;
AERIEN;BELNEL41CHECY;LIAISON 90kV N0 1 BELNEUF-CHECY;EN EXPLOITATION;90kV;RTE;1;;;;;;;;
AERIEN;FIRM5L61JACQU;LIAISON 225kV N0 1 FIRMINY-JACQUARD;EN EXPLOITATION;225kV;RTE;2;JACQUL61RIVIE;LIAISON 225kV N0 1 JACQUARD - RIVIERE (LA);;;;;;
AERIEN;CLEDEL31SSLEO;LIAISON 63kV N0 1 CLEDER-ST-POL-DE-LEON;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;CLEDEL31LESNE;LIAISON 63kV N0 1 CLEDER-LESNEVEN;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;L.CHAL61VEZIL;LIAISON 225kV N0 1 LONG- CHAMP (LE)- VEZILLY;EN EXPLOITATION;225kV;RTE;2;ORMESL61VEZIL;LIAISON 225kV N0 1 ORMES-VEZILLY;;;;;;
AERIEN;ESPERL31ZCAI6;LIAISON 63kV N0 1 ESPERAZA - MOREAU - ANTUGNAC;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;.VERBL61GEN.P;LIAISON 225kV N0 1 GENISSIAT-POSTE-VERBOIS;EN EXPLOITATION;225kV;RTE;2;.VERBL62GEN.P;LIAISON 225kV N0 2 GENISSIAT-POSTE - VERBOIS;;;;;;
AERIEN;.VERBL62GEN.P;LIAISON 225kV N0 2 GENISSIAT-POSTE - VERBOIS;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;ALLONL31PATIS;LIAISON 63kV N0 1 ALLONNE-PATIS;EN EXPLOITATION;63kV;RTE;2;ALLONL32PATIS;LIAISON 63kV N0 2 ALLONNE - PATIS;;;;;;
AERIEN;MOUZOL31MOUZ5;LIAISON 63kV N0 1 MOUZON (PORTIQUE) - MOUZON (SOLLAC);EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;C.METL61VOID;LIAISON 225kV N0 1 CROIX-DE-METZ-VOID;EN EXPLOITATION;225kV;RTE;2;C.METL31CHOLO;LIAISON 63kV N0 1 CHOLOY-CROIX-DE-METZ;;;;;;
AERIEN;CHAGNL31MOLLE;LIAISON 63kV N0 1 CHAGNY-MOLLEPIERRE;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;BREAUL31PRELE;LIAISON 63kV N0 1 BREAU-PRELES (LES);EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;COMB5L31CRUSS;LIAISON 63kV N0 1 COMBEAUX-CRUSSOL;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;CAVAIL31ZTHOR;LIAISON 63kV N0 1 CAVAILLON-CHATEAUNEUF DE GADAGNE-THOR (LE);EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;MEYMEL31MRLOQ;LIAISON 63kV N0 1 MARTILOQUE-MEYMES;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;BAGATL32ZSEIG;LIAISON 63kV N0 2 AVIGNONET - BAGATELLE - ISSEL;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;DIGOIL31GUEUG;LIAISON 63kV N0 1 DIGOIN-GUEUGNON;EN EXPLOITATION;63kV;RTE;2;GUEUGL31P.MON;LIAISON 63kV N0 1 GUEUGNON-PARAY-LE-MONIAL;;;;;;
AERIEN;PALANL41ZVERV;LIAISON 90kV N0 1 AIGRE-LUXE-PALANT (LE);EN EXPLOITATION;90kV;RTE;1;;;;;;;;
AERIEN;DAMERL31MARDE;LIAISON 63kV N0 1 DAMERY-MARDEUIL;EN EXPLOITATION;63kV;RTE;1;;;;;;;;
AERIEN;MURETL31P.SIM;LIAISON 63kV N0 1 MURET-PORTET-ST-SIMON;EN EXPLOITATION;63kV;RTE;2;MURETL31P.SIM;LIAISON 63kV N0 1 MURET-PORTET-ST-SIMON;;;;;;
AERIEN;FALLOL62ZV.BE;LIAISON 225kV N0 2 FALLOU - PLESSIS-GASSOT - VILLIERS-LE-BEL;EN EXPLOITATION;225kV;RTE;1;;;;;;;;
AERIEN;AIME L31PLAGN;LIAISON 63kV N0 1 AIME-PLAGNE (LA);EN EXPLOITATION;63kV;RTE;1;;;;;;;;
