statut;geo_point_2d;geo_shape
En exploitation;42.56005725297986, 9.44037319695943;"{""coordinates"": [[9.4405181, 42.560079], [9.4405039, 42.5600618], [9.4402462, 42.5600507], [9.440228, 42.5600588], [9.4402228, 42.5600611]], ""type"": ""LineString""}"
En exploitation;42.62611175, 9.43137735;"{""coordinates"": [[9.431366, 42.6261251], [9.4313887, 42.6260984]], ""type"": ""LineString""}"
En exploitation;42.56058494827041, 9.429087438248784;"{""coordinates"": [[9.4291346, 42.5607431], [9.4291398, 42.5607409], [9.4291596, 42.5607152], [9.4290178, 42.5604748], [9.4290775, 42.5604451]], ""type"": ""LineString""}"
En exploitation;42.62607362546508, 9.431482663317485;"{""coordinates"": [[9.4313887, 42.6260984], [9.4314263, 42.6259967], [9.4314353, 42.6260774], [9.4315997, 42.6261179], [9.4316116, 42.6261208], [9.4316328, 42.6260923]], ""type"": ""LineString""}"
En exploitation;42.56206170343543, 9.428964341122764;"{""coordinates"": [[9.4289566, 42.5618389], [9.4289659, 42.5618623], [9.4289891, 42.5619115], [9.4289908, 42.5619891], [9.4289341, 42.5620205], [9.428938, 42.5620458], [9.428976, 42.5622926], [9.4289765, 42.5622954], [9.4289769, 42.562297]], ""type"": ""LineString""}"
En exploitation;42.626087096489506, 9.432394237683198;"{""coordinates"": [[9.4319406, 42.6261096], [9.4319546, 42.6261268], [9.432477, 42.6260946], [9.4325022, 42.6260905], [9.4327412, 42.6260513], [9.4328228, 42.625966]], ""type"": ""LineString""}"
En exploitation;42.560580713230465, 9.429079585021043;"{""coordinates"": [[9.4291286, 42.5607387], [9.4291513, 42.5607121], [9.4290111, 42.5604725], [9.4290723, 42.5604439]], ""type"": ""LineString""}"
En exploitation;42.625566161086226, 9.431440394334475;"{""coordinates"": [[9.4313858, 42.6256378], [9.4313828, 42.6256109], [9.4314951, 42.6255227], [9.4315028, 42.6254994], [9.4315043, 42.6254951]], ""type"": ""LineString""}"
En exploitation;42.56213417631926, 9.428175055196137;"{""coordinates"": [[9.4283509, 42.5619795], [9.4282133, 42.5620685], [9.4281385, 42.5621474], [9.4280647, 42.5622874], [9.4280582, 42.5622998], [9.4280251, 42.5623009]], ""type"": ""LineString""}"
En exploitation;42.62598136935982, 9.432996838469506;"{""coordinates"": [[9.4328122, 42.6261372], [9.4329241, 42.6260054], [9.4330476, 42.6259031], [9.4331918, 42.6259242], [9.4332046, 42.6259463], [9.4332069, 42.6259503]], ""type"": ""LineString""}"
En exploitation;42.58894299252305, 9.435479182810623;"{""coordinates"": [[9.435449, 42.5890289], [9.4354542, 42.5890266], [9.4354722, 42.5890184], [9.4354925, 42.5888726], [9.4354708, 42.5888591], [9.4354699, 42.5888585], [9.4354663, 42.5888563]], ""type"": ""LineString""}"
En exploitation;42.62595430452985, 9.4334397424291;"{""coordinates"": [[9.4332069, 42.6259503], [9.4332283, 42.625922], [9.4336636, 42.6259855], [9.4336745, 42.6259988], [9.4336778, 42.6260027]], ""type"": ""LineString""}"
En exploitation;42.58646571654202, 9.461951261119603;"{""coordinates"": [[9.4622762, 42.5866484], [9.4623028, 42.5865989], [9.4621428, 42.5864963], [9.4618496, 42.5864174], [9.461651, 42.5863641], [9.4616132, 42.5864173], [9.4615772, 42.5864679]], ""type"": ""LineString""}"
En exploitation;42.62590805773459, 9.433680102117046;"{""coordinates"": [[9.4336778, 42.6260027], [9.4336776, 42.6259982], [9.4336837, 42.6258374], [9.4336708, 42.6258321], [9.4336835, 42.6258329]], ""type"": ""LineString""}"
En exploitation;42.58633449893284, 9.461490688609684;"{""coordinates"": [[9.4615772, 42.5864679], [9.4616125, 42.5863483], [9.4614619, 42.5863125], [9.4613233, 42.5862759], [9.4613209, 42.5862561], [9.4613191, 42.58624]], ""type"": ""LineString""}"
En exploitation;42.62568424999349, 9.432933277143484;"{""coordinates"": [[9.4332847, 42.6257115], [9.4332757, 42.6257305], [9.4325965, 42.6256403], [9.4325926, 42.625618], [9.4325918, 42.6256136], [9.4325918, 42.6256135]], ""type"": ""LineString""}"
En exploitation;42.58973152827302, 9.461964052619159;"{""coordinates"": [[9.4619684, 42.5894075], [9.4619561, 42.590002], [9.4619785, 42.5900119], [9.4620107, 42.5900162]], ""type"": ""LineString""}"
En exploitation;42.62555983750784, 9.432327441617463;"{""coordinates"": [[9.4325918, 42.6256135], [9.4325722, 42.6256426], [9.432203, 42.6255685], [9.4321579, 42.625527], [9.4321917, 42.6254404], [9.4322606, 42.6253945]], ""type"": ""LineString""}"
En exploitation;42.56062203378425, 9.445436188640008;"{""coordinates"": [[9.4455275, 42.5607974], [9.4455122, 42.5607669], [9.4455059, 42.5605664], [9.4452428, 42.5605705], [9.4452367, 42.5605707]], ""type"": ""LineString""}"
En exploitation;42.62766663307561, 9.429594880830809;"{""coordinates"": [[9.4294854, 42.6278366], [9.4296364, 42.6277543], [9.4295815, 42.6275099], [9.429664, 42.6274989]], ""type"": ""LineString""}"
En exploitation;42.56149751917237, 9.445461442215311;"{""coordinates"": [[9.4454593, 42.5614018], [9.4454635, 42.5615887], [9.4454631, 42.5615914], [9.4454629, 42.5615932]], ""type"": ""LineString""}"
En exploitation;42.626875762501825, 9.429928054568027;"{""coordinates"": [[9.4298938, 42.6269642], [9.4299525, 42.6269425], [9.4299374, 42.626808], [9.4298704, 42.6268121], [9.4298645, 42.6268125]], ""type"": ""LineString""}"
En exploitation;42.56020171270569, 9.447664168180877;"{""coordinates"": [[9.4473745, 42.56032], [9.4473776, 42.5603074], [9.4473826, 42.5602869], [9.447786, 42.56016], [9.4479235, 42.560122], [9.4479772, 42.5601412]], ""type"": ""LineString""}"
En exploitation;42.62713465640912, 9.428345188770345;"{""coordinates"": [[9.4284855, 42.6273714], [9.4285129, 42.6272884], [9.4284238, 42.6272577], [9.4284967, 42.6270364], [9.4279964, 42.6271029], [9.4279936, 42.6271033], [9.4279905, 42.6271037]], ""type"": ""LineString""}"
En exploitation;42.560133665128504, 9.44776870100838;"{""coordinates"": [[9.4466808, 42.560718], [9.4466756, 42.5607158], [9.4466174, 42.5604864], [9.4468752, 42.5604089], [9.447696, 42.560133], [9.4487846, 42.5598203], [9.4490903, 42.5596919], [9.4491221, 42.5596992]], ""type"": ""LineString""}"
En exploitation;42.62726926488675, 9.427428171262445;"{""coordinates"": [[9.4274611, 42.6272899], [9.4274564, 42.6272869], [9.4273999, 42.6272516], [9.4273961, 42.6272492], [9.4273952, 42.6272487]], ""type"": ""LineString""}"
En exploitation;42.5972591510523, 9.498069021089178;"{""coordinates"": [[9.4980035, 42.5972481], [9.4979988, 42.5972425], [9.4980089, 42.5972237], [9.4981394, 42.5972969], [9.4981475, 42.5972899], [9.4981505, 42.5972872]], ""type"": ""LineString""}"
En exploitation;42.627924980969276, 9.43017146462258;"{""coordinates"": [[9.4302909, 42.628008], [9.4302434, 42.6280199], [9.4302115, 42.6279729], [9.430126, 42.6278465], [9.4300753, 42.6278551], [9.4300634, 42.627857], [9.430042, 42.6278607]], ""type"": ""LineString""}"
En exploitation;42.59711039899839, 9.49792145551137;"{""coordinates"": [[9.4978679, 42.5970608], [9.4978579, 42.5970796], [9.4980006, 42.5971519]], ""type"": ""LineString""}"
En exploitation;42.62788585, 9.4294798;"{""coordinates"": [[9.429471, 42.6278525], [9.4294886, 42.6279192]], ""type"": ""LineString""}"
En exploitation;42.59716160014114, 9.498044019397637;"{""coordinates"": [[9.4980006, 42.5971519], [9.4980411, 42.5971856], [9.4980514, 42.5971669], [9.4980836, 42.5971287]], ""type"": ""LineString""}"
En exploitation;42.623290096437785, 9.428928043844182;"{""coordinates"": [[9.4289809, 42.6232379], [9.4289951, 42.6232551], [9.4288453, 42.6233365]], ""type"": ""LineString""}"
En exploitation;42.59800925604994, 9.498597828692562;"{""coordinates"": [[9.4987233, 42.5978671], [9.4987184, 42.5979306], [9.4986911, 42.5980137], [9.4986355, 42.5980623], [9.4985759, 42.5980751], [9.4985253, 42.5980601], [9.4984999, 42.5980526], [9.4984472, 42.5980198], [9.4984434, 42.5979541]], ""type"": ""LineString""}"
En exploitation;42.62360625518685, 9.428475001709721;"{""coordinates"": [[9.4284644, 42.6235533], [9.428483, 42.6235774], [9.4284482, 42.6235895], [9.4285066, 42.6236618], [9.4285084, 42.623664], [9.4285096, 42.6236657]], ""type"": ""LineString""}"
En exploitation;42.597230593716844, 9.497757238586301;"{""coordinates"": [[9.4979464, 42.5972745], [9.497923, 42.5973095], [9.49783, 42.5972431], [9.4977455, 42.5971945], [9.4975803, 42.5971967], [9.4975474, 42.5972236], [9.4975466, 42.5972246]], ""type"": ""LineString""}"
En exploitation;42.62370581499571, 9.428298735537599;"{""coordinates"": [[9.4285096, 42.6236657], [9.4284283, 42.6236185], [9.4281156, 42.6238094], [9.4280933, 42.6237964], [9.4280884, 42.6237936]], ""type"": ""LineString""}"
En exploitation;42.597203475077585, 9.497390646419468;"{""coordinates"": [[9.4974937, 42.5971499], [9.4974986, 42.5971873], [9.4973366, 42.5972006], [9.4972685, 42.5972667]], ""type"": ""LineString""}"
En exploitation;42.623124380603656, 9.429504057261925;"{""coordinates"": [[9.429728, 42.6232461], [9.4297138, 42.6232289], [9.429368, 42.6230861], [9.4294267, 42.623047], [9.4293691, 42.6229939], [9.4293554, 42.6229799]], ""type"": ""LineString""}"
En exploitation;42.59646504153113, 9.497758013685266;"{""coordinates"": [[9.4976003, 42.596577], [9.4977351, 42.5964512], [9.497849, 42.5963998], [9.4979203, 42.5964364], [9.4979322, 42.5964425]], ""type"": ""LineString""}"
En exploitation;42.62397099179088, 9.429435737330524;"{""coordinates"": [[9.4296994, 42.6241534], [9.4296188, 42.6241914], [9.4292377, 42.6237663], [9.4292359, 42.6237642], [9.4293158, 42.6237141]], ""type"": ""LineString""}"
En exploitation;42.596464546923244, 9.497663471030329;"{""coordinates"": [[9.4978026, 42.5963783], [9.4978289, 42.5963947], [9.4977247, 42.5964464], [9.4976012, 42.5965534], [9.4975232, 42.5963957]], ""type"": ""LineString""}"
En exploitation;42.62371559398213, 9.429212833610084;"{""coordinates"": [[9.4293158, 42.6237141], [9.4292217, 42.623747], [9.4291652, 42.6236782], [9.4291245, 42.6237049], [9.4291195, 42.6237081]], ""type"": ""LineString""}"
