Code poste;Nom poste;FONCTION;Etat;Tension (kV);departement
AULNO;AULNOYE;Poste de transformation;EN EXPLOITATION;225kV;Nord
SSF.N;ST-FONS-NORD;Poste de transformation;EN EXPLOITATION;63kV;Rhône
SSFEN;ST-PAUL-DE-FENOUILLET;Poste de transformation;EN EXPLOITATION;63kV;Pyrénées-Orientales
SSGIL;ST-GILLES;Poste de transformation;EN EXPLOITATION;90kV;Vendée
SSTRO;ST-TROPEZ;Poste de transformation;EN EXPLOITATION;63kV;Var
PLEUM;PLEUMARTIN;Poste de transformation;EN EXPLOITATION;90kV;Vienne
PRALO;PRALOGNAN;Poste de transformation;EN EXPLOITATION;63kV;Savoie
TRICA;TRICASTIN (LE);Poste de transformation;EN EXPLOITATION;225kV;Drôme
CSLLA;CASTELLANE;Poste de transformation;EN EXPLOITATION;150kV;Alpes-de-Haute-Provence
ZMANG;PIQUAGE A MANGOT;Point de piquage;EN EXPLOITATION;225kV;Drôme
ZC.BR;PIQUAGE AU CHAMP BRIFFOR;Point de piquage;EN EXPLOITATION;63kV;Doubs
IRANG;IRANGER (L);Poste de transformation;EN EXPLOITATION;63kV;Landes
GANIL;GANIL;Poste de transformation;EN EXPLOITATION;90kV;Calvados
QUIBE;QUIBERON;Poste de transformation;EN EXPLOITATION;63kV;
TOULU;TOULUCH;Poste de transformation;EN EXPLOITATION;63kV;Aveyron
CXDAN;CHAUDANNE (LA);Poste de transformation;EN EXPLOITATION;150kV;Alpes-de-Haute-Provence
V.BRE;VERNOU-SUR-BRENNE;Poste de transformation;EN EXPLOITATION;90kV;Indre-et-Loire
VAILL;VAILLY;Poste de transformation;EN EXPLOITATION;63kV;Cher
SARAN;SARAN;Poste de transformation;EN EXPLOITATION;90kV;Loiret
ZMAL6;PIQUAGE A COURDEMANCHE;Point de piquage;EN EXPLOITATION;90kV;Eure
N.USS;NEUVIC-D USSEL;Poste de transformation;EN EXPLOITATION;90kV;Corrèze
MOHET;MOHET;Poste de transformation;EN EXPLOITATION;63kV;Somme
MORLA;MORLAIX;Poste de transformation;EN EXPLOITATION;63kV;Finistère
ZSOMM;SOMMI / ANDUZ VIRAD 1;Point de piquage;EN EXPLOITATION;63kV;Gard
CROZO;CROZON;Poste de transformation;EN EXPLOITATION;63kV;Finistère
ZNEUF;NEUF5 / BXCH5 RENOU 1;Point de piquage;EN EXPLOITATION;90kV;Seine-Maritime
ZNOUA;PIQUAGE NOUAUX (LIAISON ARRENZ51L.BAL);Point de piquage;EN EXPLOITATION;150kV;Hautes-Pyrénées
ZP.B8;PIQUAGE PETIT-BOULAY;Point de piquage;EN EXPLOITATION;150kV;Saône-et-Loire
PAYOL;PAYOLLES (LES);Poste de transformation;EN EXPLOITATION;90kV;Loiret
1TRAP;TRAPIL /CORNEILLE 21KV;Poste de transformation;EN EXPLOITATION;<45kV;Seine-Maritime
ESSEY;ESSEY (-LES-NANCY);Poste de transformation;EN EXPLOITATION;63kV;Meurthe-et-Moselle
ZMAGD;PIQUAGE A MAGDELEINE (LA);Point de piquage;EN EXPLOITATION;90kV;Charente
PERTU;PERTUIS;Poste de transformation;EN EXPLOITATION;63kV;Vaucluse
REOLE;REOLE (LA);Poste de transformation;EN EXPLOITATION;63kV;Gironde
REPAS;REPASSE (LA);Poste de transformation;EN EXPLOITATION;63kV;Alpes-de-Haute-Provence
ORLU;ORLU;Poste de transformation;EN EXPLOITATION;150kV;Ariège
OZ;OZ;Poste de transformation;EN EXPLOITATION;63kV;Isère
CADER;CADEROUSSE;Poste de transformation;EN EXPLOITATION;63kV;Gard
CAIL;CAIL;Poste de transformation;EN EXPLOITATION;150kV;Nord
SEVEN;SEVENANS;Poste de transformation;EN EXPLOITATION;63kV;Territoire de Belfort
DOMFR;DOMFRONT;Poste de transformation;EN EXPLOITATION;90kV;Orne
DOUDO;DOUDOYE;Poste de transformation;EN EXPLOITATION;63kV;Nièvre
OXYGA;OXYGAZ;Poste de transformation;EN EXPLOITATION;225kV;Moselle
OLIVE;OLIVETTES (LES);Poste de transformation;EN EXPLOITATION;63kV;Gard
ORGER;ORGERES;Poste de transformation;EN EXPLOITATION;90kV;Eure-et-Loir
ZCASC;PIQUAGE A CASCADEC;Point de piquage;EN EXPLOITATION;63kV;Finistère
ZCHEV;CHEVR / BREVI V.ISE 1;Point de piquage;EN EXPLOITATION;63kV;Savoie
ZCPBL;CPBLA / GAMPA SSVAL 1;Point de piquage;EN EXPLOITATION;63kV;Ardèche
MTBAR;MONTBARD;Poste de transformation;EN EXPLOITATION;63kV;Côte-d'Or
MTENV;MONTENVERS;Poste de transformation;EN EXPLOITATION;63kV;Haute-Savoie
P.LAN;PAS-DES-LANCIERS;Poste de transformation;EN EXPLOITATION;63kV;Bouches-du-Rhône
P.REI;PONT-DE-LA-REINE;Poste de transformation;EN EXPLOITATION;63kV;Hautes-Pyrénées
P.ROI;PONT-DE-ROIDE;Poste de transformation;EN EXPLOITATION;63kV;Doubs
P.ROS;PETITE-ROSSELLE;Poste de transformation;EN EXPLOITATION;225kV;
P.ARA;PONT-D ARAN;Poste de transformation;EN EXPLOITATION;63kV;Var
MAMER;MAMERS;Poste de transformation;EN EXPLOITATION;90kV;Sarthe
MOLIN;MOLINONS;Poste de transformation;EN EXPLOITATION;63kV;Yonne
MOUSS;MOUSSEROLLES;Poste de transformation;EN EXPLOITATION;63kV;Pyrénées-Atlantiques
BLAUX;BLAUX;Poste de transformation;EN EXPLOITATION;225kV;Alpes-de-Haute-Provence
ZHESI;PIQUAGE HESINGUE;Point de piquage;EN EXPLOITATION;63kV;Haut-Rhin
CHEV8;CHEVENE;Poste de transformation;EN EXPLOITATION;63kV;Haute-Savoie
PEYRU;PEYRUSSE;Poste de transformation;EN EXPLOITATION;63kV;Cantal
POUZI;POUZIN (LE);Poste de transformation;EN EXPLOITATION;63kV;Ardèche
MTALE;MONTALET;Poste de transformation;EN EXPLOITATION;63kV;Yvelines
SEGON;SEGONNAUX (LES);Poste de transformation;EN EXPLOITATION;63kV;Gard
SOMBU;SOMBUSSY;Poste de transformation;EN EXPLOITATION;63kV;Meuse
NAVA5;NAVARROSSE;Poste de transformation;EN EXPLOITATION;63kV;Landes
MAURE;MAUREIX (LE);Poste de transformation;EN EXPLOITATION;225kV;Haute-Vienne
SSVIV;ST-VIVIEN;Poste de transformation;EN EXPLOITATION;63kV;Gironde
TALEN;TALENCE;Poste de transformation;EN EXPLOITATION;63kV;Gironde
I.ELL;ILE-D ELLE;Poste de transformation;EN EXPLOITATION;90kV;Charente-Maritime
LUC;LUC (LE);Poste de transformation;EN EXPLOITATION;63kV;Tarn-et-Garonne
GARE5;GARENNE (LA);Poste de transformation;EN EXPLOITATION;63kV;Tarn-et-Garonne
GOLF5;GOLFECH (NUCLEAIRE);Poste de transformation;EN EXPLOITATION;400kV;Lot-et-Garonne
SACL5;SACLAY (PLATEAU);Poste de transformation;EN EXPLOITATION;225kV;Essonne
TRO.E;TROYES-EST;Poste de transformation;EN EXPLOITATION;63kV;Aube
V.CON;VIEUX-CONDE;Poste de transformation;EN EXPLOITATION;63kV;Nord
MATRA;MATRAS;Poste de transformation;EN EXPLOITATION;63kV;Tarn-et-Garonne
MTPE5;MONTPEZAT (CLIENT);Poste de transformation;EN EXPLOITATION;63kV;Lot
VEDEN;VEDENE;Poste de transformation;EN EXPLOITATION;63kV;Vaucluse
ARGE5;ARGENTAT;Poste de transformation;EN EXPLOITATION;90kV;Corrèze
ROSS5;ROSSIGNOL;Poste de transformation;EN EXPLOITATION;63kV;Seine-et-Marne
AMNEV;AMNEVILLE;Poste de transformation;EN EXPLOITATION;225kV;Moselle
BRACH;BRACHAY;Poste de transformation;EN EXPLOITATION;63kV;Ain
MEDOC;MEDOC (LESPARRE);Poste de transformation;EN EXPLOITATION;63kV;Gironde
CABA5;CABANES;Poste de transformation;EN EXPLOITATION;63kV;Aude
PINET;PINET;Poste de transformation;EN EXPLOITATION;63kV;Aveyron
BAYET;BAYET;Poste de transformation;EN EXPLOITATION;400kV;Allier
CAS.S;CASTRES-SUD;Poste de transformation;EN EXPLOITATION;63kV;Tarn
BELEM;BELEM;Poste de transformation;EN EXPLOITATION;63kV;Ariège
BELIC;BELICHE (LA);Poste de transformation;EN EXPLOITATION;63kV;Landes
ALTKI;ALTKIRCH;Poste de transformation;EN EXPLOITATION;63kV;Haut-Rhin
ARLOD;ARLOD;Poste de transformation;EN EXPLOITATION;225kV;Ain
AURIL;AURILLAC;Poste de transformation;EN EXPLOITATION;90kV;Cantal
AURIO;AURIOLLES;Poste de transformation;EN EXPLOITATION;63kV;Gironde
SSXAN;ST-XANDRE;Poste de transformation;EN EXPLOITATION;90kV;
MAREN;MARENNES;Poste de transformation;EN EXPLOITATION;90kV;
ZB.ME;PIQUAGE A BUS-LA-MESIERE;Point de piquage;EN EXPLOITATION;225kV;Somme
CAUSS;CAUSSADE;Poste de transformation;EN EXPLOITATION;63kV;Tarn-et-Garonne
ARTIG;ARTIGUES;Poste de transformation;EN EXPLOITATION;63kV;Hautes-Pyrénées
AUVER;AUVERS-LE-HAMON;Poste de transformation;EN EXPLOITATION;90kV;Mayenne
SSBOU;ST-PHILBERT-DE-BOUAINE;Poste de transformation;EN EXPLOITATION;90kV;Loire-Atlantique
HERIM;HERIMENIL;Poste de transformation;EN EXPLOITATION;63kV;Meurthe-et-Moselle
HORDA;HORDAIN;Poste de transformation;EN EXPLOITATION;90kV;Nord
ARTEN;ARTENAY;Poste de transformation;EN EXPLOITATION;90kV;Eure-et-Loir
MOTT5;MOTTE (LA) (VILLENEUVE-LES-AVIGNON);Poste de transformation;EN EXPLOITATION;225kV;Gard
B.ETO;BELLE-ETOILE;Poste de transformation;EN EXPLOITATION;63kV;Rhône
GIGNA;GIGNAC;Poste de transformation;EN EXPLOITATION;63kV;Dordogne
GIMON;GIMONT;Poste de transformation;EN EXPLOITATION;63kV;Gers
GOUDO;GOUDOUNECHE;Poste de transformation;EN EXPLOITATION;90kV;Corrèze
GRAND;GRANDVAL;Poste de transformation;EN EXPLOITATION;225kV;Cantal
GRASS;GRASSE;Poste de transformation;EN EXPLOITATION;63kV;Alpes-Maritimes
FINHA;FINHAN;Poste de transformation;EN EXPLOITATION;63kV;Tarn-et-Garonne
AVIGN;AVIGNON (POSTE);Poste de transformation;EN EXPLOITATION;225kV;Gard
F.COM;FONTENAY-LE-COMTE;Poste de transformation;EN EXPLOITATION;90kV;Vendée
AVRIM;AVRIMA;Poste de transformation;EN EXPLOITATION;63kV;Meurthe-et-Moselle
B.MAI;BELLE-DE-MAI;Poste de transformation;EN EXPLOITATION;225kV;
BAZEI;BAZEILLES;Poste de transformation;EN EXPLOITATION;63kV;Ardennes
L.NE5;LOGIS-NEUF (POSTE CENTRALE);Poste de transformation;EN EXPLOITATION;<45kV;Ardèche
GRIBO;GRIBOUZY (LES);Poste de transformation;EN EXPLOITATION;90kV;Loir-et-Cher
H.CLO;HAUT-CLOS;Poste de transformation;EN EXPLOITATION;63kV;Aube
H.VER;HAUT-VERNET (LE);Poste de transformation;EN EXPLOITATION;63kV;Pyrénées-Orientales
GOLFE;GOLFECH (HYDRAULIQUE);Poste de transformation;EN EXPLOITATION;63kV;Tarn-et-Garonne
H.RIV;HAUTES-RIVIERES;Poste de transformation;EN EXPLOITATION;63kV;Ardennes
HASTI;HASTIGNAN;Poste de transformation;EN EXPLOITATION;63kV;Gironde
HELEN;HELENIERE;Poste de transformation;EN EXPLOITATION;63kV;Gard
HOURT;HOURTIN;Poste de transformation;EN EXPLOITATION;63kV;Gironde
B.CAR;BROC-CARROS (LE);Poste de transformation;EN EXPLOITATION;400kV;Alpes-Maritimes
BXCO5;BEAUCOURSIERE (LA);Poste de transformation;EN EXPLOITATION;90kV;
SAULA;SAULAIE (LA);Poste de transformation;EN EXPLOITATION;63kV;Rhône
HERB6;HERBIGNAC;Poste de transformation;EN EXPLOITATION;63kV;Morbihan
I.ABE;ISLE D ABEAU;Poste de transformation;EN EXPLOITATION;63kV;Isère
I.DOU;ISLE-SUR-LE-DOUBS (L );Poste de transformation;EN EXPLOITATION;63kV;Doubs
SERV6;SERVON;Poste de transformation;EN EXPLOITATION;90kV;Ille-et-Vilaine
COSSI;COSSIGNY;Poste de transformation;EN EXPLOITATION;225kV;Seine-et-Marne
VLECH;VILLECHETIVE;Poste de transformation;EN EXPLOITATION;400kV;Yonne
INGRA;INGRANDES;Poste de transformation;EN EXPLOITATION;90kV;Vienne
J.MAI;JOLI-MAI;Poste de transformation;EN EXPLOITATION;63kV;Loire-Atlantique
JUSSE;JUSSEY;Poste de transformation;EN EXPLOITATION;63kV;Haute-Saône
B20;B20;Poste de transformation;EN EXPLOITATION;63kV;Puy-de-Dôme
BECHE;BECHE;Poste de transformation;EN EXPLOITATION;90kV;Corrèze
ZP.DE;PIQUAGE PONT DES DEMOISELLES (LIAISON CTAU L31P.SIM);Point de piquage;EN EXPLOITATION;63kV;Haute-Garonne
ZP.F5;P.FOS / GAP ZTRIN 1;Point de piquage;EN EXPLOITATION;63kV;Hautes-Alpes
SSSAU;ST-SAUVES;Poste de transformation;EN EXPLOITATION;63kV;Puy-de-Dôme
SSSIG;STE-SIGOLENE;Poste de transformation;EN EXPLOITATION;63kV;Haute-Loire
SSVER;ST-VERAN;Poste de transformation;EN EXPLOITATION;63kV;Gard
T.LAS;TOUR-LASCARIS;Poste de transformation;EN EXPLOITATION;225kV;Alpes-Maritimes
TAUTA;TAUTAVEL;Poste de transformation;EN EXPLOITATION;63kV;Pyrénées-Orientales
BEZIE;BEZIERS (S.N.C.F.);Poste de transformation;EN EXPLOITATION;63kV;Hérault
H.DEV;HENRI DEVILLE;Poste de transformation;EN EXPLOITATION;63kV;Savoie
GOUV5;GOUVILLE;Poste de transformation;EN EXPLOITATION;90kV;Manche
FECAM;FECAMP;Poste de transformation;EN EXPLOITATION;90kV;
ZPLAC;PIQUAGE A PLACHY (LE);Point de piquage;EN EXPLOITATION;225kV;Pas-de-Calais
AYRES;AYRES;Poste de transformation;EN EXPLOITATION;400kV;Aveyron
BRESS;BRESSUIRE;Poste de transformation;EN EXPLOITATION;90kV;Deux-Sèvres
A.LIG;ACHILLE LIGNON;Poste de transformation;EN EXPLOITATION;63kV;Rhône
ABIDO;ABIDOS;Poste de transformation;EN EXPLOITATION;63kV;Pyrénées-Atlantiques
ALTEN;ALTENSTADT;Poste de transformation;EN EXPLOITATION;63kV;Bas-Rhin
ANGEL;ANGELIQUE;Poste de transformation;EN EXPLOITATION;90kV;Loiret
MIONS;MIONS;Poste de transformation;EN EXPLOITATION;400kV;Rhône
SOLLI;SOLLIES;Poste de transformation;EN EXPLOITATION;63kV;Var
FOIX;FOIX - (ENEDIS);Poste de transformation;EN EXPLOITATION;63kV;Ariège
FREJU;FREJUS;Poste de transformation;EN EXPLOITATION;225kV;Var
IMPHY;IMPHY;Poste de transformation;EN EXPLOITATION;63kV;Nièvre
VERGE;VERGER;Poste de transformation;EN EXPLOITATION;400kV;Loir-et-Cher
SSAPO;ST-APOLLINAIRE;Poste de transformation;EN EXPLOITATION;63kV;Côte-d'Or
SSBAR;STE-BARBE;Poste de transformation;EN EXPLOITATION;63kV;Côte-d'Or
SSCO7;ST-COME;Poste de transformation;EN EXPLOITATION;90kV;Indre-et-Loire
GAP;GAP;Poste de transformation;EN EXPLOITATION;63kV;Hautes-Alpes
GAUC5;GAUCHY;Poste de transformation;EN EXPLOITATION;63kV;Aisne
GELLA;GELLAINVILLE;Poste de transformation;EN EXPLOITATION;90kV;Eure-et-Loir
GEVRE;GEVREY;Poste de transformation;EN EXPLOITATION;63kV;Côte-d'Or
RULHA;RULHAT;Poste de transformation;EN EXPLOITATION;400kV;Puy-de-Dôme
BENET;BENET;Poste de transformation;EN EXPLOITATION;90kV;Vendée
ISSOI;ISSOIRE;Poste de transformation;EN EXPLOITATION;225kV;Puy-de-Dôme
JONCE;JONCELS;Poste de transformation;EN EXPLOITATION;63kV;Hérault
ZTECH;PIQUAGE A MAGNY-LES-HAMEAUX;Point de piquage;EN EXPLOITATION;63kV;Yvelines
ZTOUA;FRESN / ALENC V.JUH 1;Point de piquage;EN EXPLOITATION;90kV;Sarthe
GINES;GINESTOUS;Poste de transformation;EN EXPLOITATION;225kV;Haute-Garonne
GOETZ;GOETZENBRUCK;Poste de transformation;EN EXPLOITATION;63kV;Moselle
GUER6;GUERLETTES (LES);Poste de transformation;EN EXPLOITATION;90kV;
GY;GY;Poste de transformation;EN EXPLOITATION;63kV;Haute-Saône
GOUVI;GOUVIEUX;Poste de transformation;EN EXPLOITATION;225kV;Oise
LAUZE;LAUZERTE;Poste de transformation;EN EXPLOITATION;63kV;Tarn-et-Garonne
JONZA;JONZAC;Poste de transformation;EN EXPLOITATION;90kV;Charente-Maritime
JUNGW;JUNGWALD;Poste de transformation;EN EXPLOITATION;63kV;Moselle
ZV.CO;PIQUAGE VILLESEQUE (LIAISON LIVIEZ31V.COR);Point de piquage;EN EXPLOITATION;63kV;Aude
ZREAL;PIQUAGE REALS (LIAISON CAZEDZ31SSVIN);Point de piquage;EN EXPLOITATION;63kV;Hérault
ALENC;ALENCON;Poste de transformation;EN EXPLOITATION;90kV;Orne
SSPRO;ST-REMY-DE-PROVENCE;Poste de transformation;EN EXPLOITATION;63kV;Bouches-du-Rhône
SSRAP;ST-RAPHAEL;Poste de transformation;EN EXPLOITATION;63kV;Var
MUREA;MUREAUX (LES);Poste de transformation;EN EXPLOITATION;225kV;Yvelines
NANT5;NANTET;Poste de transformation;EN EXPLOITATION;63kV;Savoie
N.MAI;NEUVES-MAISONS;Poste de transformation;EN EXPLOITATION;63kV;Meurthe-et-Moselle
HERI5;HERICOURT (CLIENT);Poste de transformation;EN EXPLOITATION;63kV;Haute-Saône
FONCL;FONCLARE;Poste de transformation;EN EXPLOITATION;63kV;Hérault
FONT;FONT (LA);Poste de transformation;EN EXPLOITATION;225kV;Allier
COIND;COINDRE;Poste de transformation;EN EXPLOITATION;90kV;Cantal
PORC5;PORCHEFONTAINE;Poste de transformation;EN EXPLOITATION;63kV;Yvelines
CONCA;CONCARNEAU;Poste de transformation;EN EXPLOITATION;225kV;Finistère
CONTE;CONTES;Poste de transformation;EN EXPLOITATION;63kV;Alpes-Maritimes
H.VIN;HAUT-VINAGE;Poste de transformation;EN EXPLOITATION;225kV;Nord
QUEST;QUESTEMBERT;Poste de transformation;EN EXPLOITATION;63kV;Morbihan
RATIE;RATIER;Poste de transformation;EN EXPLOITATION;225kV;Seine-Maritime
SAVER;SAVERNE;Poste de transformation;EN EXPLOITATION;63kV;Bas-Rhin
MADE6;MADELEINE (LA);Poste de transformation;EN EXPLOITATION;225kV;Meurthe-et-Moselle
PRUNI;PRUNIERES;Poste de transformation;EN EXPLOITATION;225kV;Isère
OIRY;OIRY;Poste de transformation;EN EXPLOITATION;63kV;Marne
ORLY;ORLY;Poste de transformation;EN EXPLOITATION;225kV;Hauts-de-Seine
HOLZM;HOLZMATT;Poste de transformation;EN EXPLOITATION;63kV;Bas-Rhin
ZBREA;PIQUAGE A BREAL-SOUS-VITRE;Point de piquage;EN EXPLOITATION;90kV;Ille-et-Vilaine
ZMEZO;PIQUAGE MEZOT;Point de piquage;EN EXPLOITATION;63kV;Meurthe-et-Moselle
SAFE;S.A.F.E.;Poste de transformation;EN EXPLOITATION;225kV;Moselle
SAILL;SAILLANT (LE);Poste de transformation;EN EXPLOITATION;90kV;Corrèze
MEES;MEES (LES) (SOLAIRE 1);Poste de transformation;EN EXPLOITATION;225kV;Alpes-de-Haute-Provence
ZJONC;PIQUAGE A JONCHERE 1;Point de piquage;EN EXPLOITATION;63kV;Val-de-Marne
BRIEC;BRIEC;Poste de transformation;EN EXPLOITATION;63kV;Finistère
BXNE6;BEAUNE-;Poste de transformation;EN EXPLOITATION;90kV;Loiret
ZRQRE;PIQUAGE ROQUEREDONDE LIAISON BEDARZ31LAURA;Point de piquage;EN EXPLOITATION;63kV;Hérault
ZTREZ;PIQUAGE A TREZANNE;Point de piquage;EN EXPLOITATION;90kV;Vendée
PORT6;PORTILLON;Poste de transformation;EN EXPLOITATION;90kV;Indre-et-Loire
POUZA;POUZAUGES;Poste de transformation;EN EXPLOITATION;90kV;Vendée
PRATC;PRATCLAUX;Poste de transformation;EN EXPLOITATION;225kV;Haute-Loire
PRAUT;PRAUTHOY;Poste de transformation;EN EXPLOITATION;63kV;Haute-Marne
MOUTH;MOUTHIER;Poste de transformation;EN EXPLOITATION;63kV;Doubs
MURE5;MURE (LA);Poste de transformation;EN EXPLOITATION;63kV;Isère
P.MIT;POINTE A MITEAU;Poste de transformation;EN EXPLOITATION;90kV;Vienne
ILLKI;ILLKIRCH;Poste de transformation;EN EXPLOITATION;63kV;Bas-Rhin
ILONS;ILONS (LES);Poste de transformation;EN EXPLOITATION;63kV;Ardèche
IZON;IZON;Poste de transformation;EN EXPLOITATION;63kV;Gironde
MALA8;MALADRERIE (CLIENT);Poste de transformation;EN EXPLOITATION;63kV;Oise
MALIN;MALINTRAT;Poste de transformation;EN EXPLOITATION;225kV;Puy-de-Dôme
ZJON5;PIQUAGE A JONCHERE 2;Point de piquage;EN EXPLOITATION;63kV;Val-de-Marne
ZAMIG;PIQUAGE A AMIGNE;Point de piquage;EN EXPLOITATION;225kV;Sarthe
ZHERE;PIQUAGE A LA HERELLE;Point de piquage;EN EXPLOITATION;63kV;Oise
PRRFI;PIERREFITTE (CLIENT);Poste de transformation;EN EXPLOITATION;63kV;Hautes-Pyrénées
CAMP6;CAMPAGNE;Poste de transformation;EN EXPLOITATION;63kV;Dordogne
ZBLO1;BLO.N / VALL5 VLERB 1;Point de piquage;EN EXPLOITATION;90kV;Loir-et-Cher
ZBOU6;PIQUAGE BOUSSENS (LIAISON CAZERZ31MANCI);Point de piquage;EN EXPLOITATION;63kV;Haute-Garonne
ZBOUC;PIQUAGE BOUCAU (LIAISON MOUGUZ31MOUSS);Point de piquage;EN EXPLOITATION;63kV;Pyrénées-Atlantiques
ZBRUF;PIQUAGE A BRUFFIERE;Point de piquage;EN EXPLOITATION;90kV;Loire-Atlantique
ZC.L6;PIQUAGE CROIX-LEONARD (LIGNE N0 2);Point de piquage;EN EXPLOITATION;63kV;Saône-et-Loire
ZG.HA;PIQUAGE A GERBECOURT ET HAPLEMONT;Point de piquage;EN EXPLOITATION;225kV;Meurthe-et-Moselle
CSTTT;CASTET (SHEM);Poste de transformation;EN EXPLOITATION;63kV;Pyrénées-Atlantiques
QUENT;QUENTOIS;Poste de transformation;EN EXPLOITATION;90kV;Somme
REGHA;REGHAT;Poste de transformation;EN EXPLOITATION;63kV;Val-de-Marne
ZV.SE;PIQUAGE A VILLERS-SEMEUSE;Point de piquage;EN EXPLOITATION;63kV;Ardennes
VOREP;VOREPPE;Poste de transformation;EN EXPLOITATION;63kV;Isère
BLOTT;BLOTTEREAU;Poste de transformation;EN EXPLOITATION;63kV;Loire-Atlantique
PALUD;PALUD (LA);Poste de transformation;EN EXPLOITATION;63kV;Ardèche
ETREP;ETREPAGNY;Poste de transformation;EN EXPLOITATION;63kV;Eure
DENAI;DENAIN;Poste de transformation;EN EXPLOITATION;63kV;Nord
LEGUE;LEGUEVIN;Poste de transformation;EN EXPLOITATION;225kV;Haute-Garonne
ZARNO;ARNOU / FARRA MAREN 1;Point de piquage;EN EXPLOITATION;90kV;Charente-Maritime
ZGRAN;GRAN6 / F.VER SSJUS 1;Point de piquage;EN EXPLOITATION;63kV;Loire
PAU.N;PAU-NORD;Poste de transformation;EN EXPLOITATION;63kV;Pyrénées-Atlantiques
PECY;PECY;Poste de transformation;EN EXPLOITATION;63kV;Seine-et-Marne
BOUZO;BOUZONVILLE;Poste de transformation;EN EXPLOITATION;63kV;Moselle
ALESI;ALESIA;Poste de transformation;EN EXPLOITATION;225kV;Paris
ZDURO;DUROL / CELLE THIE5 1;Point de piquage;EN EXPLOITATION;63kV;Puy-de-Dôme
ZARBI;ARBI1 / ARBI2 CUDRA 1;Point de piquage;EN EXPLOITATION;45kV;Savoie
ZARTE;ARTEN / AUVIL DAMBR 1;Point de piquage;EN EXPLOITATION;90kV;Eure-et-Loir
ZAUMA;AUMAL / BLOCA NEUF5 2;Point de piquage;EN EXPLOITATION;90kV;Seine-Maritime
CESTA;CESTAS;Poste de transformation;EN EXPLOITATION;225kV;Gironde
SULAU;SULAUZE;Poste de transformation;EN EXPLOITATION;63kV;Bouches-du-Rhône
C.GOM;CHATEAU-GOMBERT;Poste de transformation;EN EXPLOITATION;225kV;Bouches-du-Rhône
BORIE;BORIETTE (LA);Poste de transformation;EN EXPLOITATION;90kV;Corrèze
MANO7;MANOIRE;Poste de transformation;EN EXPLOITATION;90kV;Dordogne
ZLAN8;PIQUAGE LANGLOIS A BUSSY-SAINT-MARTIN (ZLAN8);Point de piquage;EN EXPLOITATION;225kV;Seine-et-Marne
PEU.S;PEUGEOT-SUD;Poste de transformation;EN EXPLOITATION;63kV;Doubs
ANGLE;ANGLEFORT;Poste de transformation;EN EXPLOITATION;63kV;Ain
ARBOI;ARBOIS;Poste de transformation;EN EXPLOITATION;63kV;Jura
ZBROS;PIQUAGE A LA BROSSONNIERE;Point de piquage;EN EXPLOITATION;63kV;Côtes-d'Armor
ZMAGR;PIQUAGE MAGRE (LIAISON AURENZ41MAURE);Point de piquage;EN EXPLOITATION;90kV;Haute-Vienne
ZMER7;MERCI / FROGE G.ILE 1;Point de piquage;EN EXPLOITATION;225kV;Isère
ZMRIG;PIQUAGE EX MARIGNAC (LIAISON CIERPZ31M.MAU);Point de piquage;EN EXPLOITATION;63kV;Hautes-Pyrénées
SAKAN;SAKANIE;Poste de transformation;EN EXPLOITATION;63kV;Ariège
SANGO;SANGONIS;Poste de transformation;EN EXPLOITATION;63kV;Hérault
PLEMY;PLEMY;Poste de transformation;EN EXPLOITATION;63kV;Côtes-d'Armor
ZBACC;PIQUAGE A SAINTE-CROIX-HAGUE;Point de piquage;EN EXPLOITATION;90kV;Manche
TABAR;TABARDERIE;Poste de transformation;EN EXPLOITATION;400kV;Loiret
ZC.LE;PIQUAGE A LA CROIX-SAINT-LEUFROY;Point de piquage;EN EXPLOITATION;90kV;Eure
LAVEY;LAVEYRUNE;Poste de transformation;EN EXPLOITATION;225kV;Lozère
PIOLE;PIOLENC;Poste de transformation;EN EXPLOITATION;63kV;Vaucluse
ABBA5;ABBAYE (S.N.C.F.);Poste de transformation;EN EXPLOITATION;45kV;Haute-Savoie
FOIX5;FOIX (R.F.F.);Poste de transformation;EN EXPLOITATION;63kV;Ariège
FITOU;FITOU (CLIENT);Poste de transformation;EN EXPLOITATION;63kV;Aude
FLAMB;FLAMBELLE (LA);Poste de transformation;EN EXPLOITATION;63kV;Haute-Garonne
LESPA;LESPARAT;Poste de transformation;EN EXPLOITATION;90kV;Dordogne
ZMON7;PIQUAGE MONT (LIAISON MARSIZ31ORTH5);Point de piquage;EN EXPLOITATION;63kV;Pyrénées-Atlantiques
ZMORC;PIQUAGE MORCENX (LIAISON CANTEZ32LABOU);Point de piquage;EN EXPLOITATION;63kV;Landes
ZJARG;JARGE / SAUS6 SOUR5 1;Point de piquage;EN EXPLOITATION;90kV;Loiret
LIEBV;LIEBVILLERS;Poste de transformation;EN EXPLOITATION;63kV;Doubs
LOUDE;LOUDEAC;Poste de transformation;EN EXPLOITATION;63kV;Côtes-d'Armor
LUDE;LUDE (LE);Poste de transformation;EN EXPLOITATION;90kV;Sarthe
ZN.SU;PIQUAGE A LA NOUE SURDEAU;Point de piquage;EN EXPLOITATION;63kV;Ardennes
AUGUE;AUGUETTE;Poste de transformation;EN EXPLOITATION;225kV;
SSMA7;STE-MAXIME;Poste de transformation;EN EXPLOITATION;63kV;Var
