Code poste;Nom poste;FONCTION;Etat;Tension (kV);departement
NAUCL;NAUCLAIR;Poste de transformation;EN EXPLOITATION;90kV;Charente
ZBARA;PIQUAGE A BARATTERAIS;Point de piquage;EN EXPLOITATION;63kV;Loire-Atlantique
VENCE;VENCE;Poste de transformation;EN EXPLOITATION;63kV;Alpes-Maritimes
OCHE;OCHE (L);Poste de transformation;EN EXPLOITATION;63kV;Isère
P.ARC;PONT-DE-L ARCHE;Poste de transformation;EN EXPLOITATION;90kV;Seine-Maritime
BXREG;BEAUREGARD (BRIVE-LA-GAILLARDE);Poste de transformation;EN EXPLOITATION;90kV;Corrèze
C.BAP;CROIX-BAPTISTE (LA);Poste de transformation;EN EXPLOITATION;63kV;Val-d'Oise
C.RO5;CHOISY-LE-ROI (CLIENT);Poste de transformation;EN EXPLOITATION;63kV;Val-de-Marne
CHAL7;CHALAMPE;Poste de transformation;EN EXPLOITATION;225kV;Haut-Rhin
CHAND;CHANDIEU;Poste de transformation;EN EXPLOITATION;63kV;Rhône
CHAZ5;CHAZELLES;Poste de transformation;EN EXPLOITATION;63kV;Loire
P.PAI;PRE-EN-PAIL;Poste de transformation;EN EXPLOITATION;90kV;Mayenne
PEBER;PEBERNAT;Poste de transformation;EN EXPLOITATION;63kV;Ariège
CAPEN;CAPENDU;Poste de transformation;EN EXPLOITATION;63kV;Aude
P.SAM;PONT-SUR-SAMBRE;Poste de transformation;EN EXPLOITATION;225kV;Nord
RECY;RECY;Poste de transformation;EN EXPLOITATION;225kV;Marne
REMIS;REMISE;Poste de transformation;EN EXPLOITATION;400kV;Oise
T.IND;TROYES-INDUSTRIE;Poste de transformation;EN EXPLOITATION;63kV;Aube
TARTE;TARTERETS;Poste de transformation;EN EXPLOITATION;63kV;Essonne
ZPROD;PIQUAGE A BEAUVAIS;Point de piquage;EN EXPLOITATION;63kV;Oise
ZS.CU;PIQUAGE SALLES CURAN (LIAISON O.CHAZ61SSVIC);Point de piquage;EN EXPLOITATION;225kV;Aveyron
ZSALB;SALBR / BOURG CHAI5 2;Point de piquage;EN EXPLOITATION;90kV;Loir-et-Cher
ZREBO;REBOU / C.RHO VIVI5 1;Point de piquage;EN EXPLOITATION;63kV;Ardèche
CNREI;CHANTEREINE;Poste de transformation;EN EXPLOITATION;63kV;Oise
COATA;COATAUDON;Poste de transformation;EN EXPLOITATION;63kV;Finistère
CODOL;CODOLET;Poste de transformation;EN EXPLOITATION;63kV;Gard
COLMA;COLMAR (S.N.C.F.);Poste de transformation;EN EXPLOITATION;63kV;Haut-Rhin
COMPA;COMPAS (LES);Poste de transformation;EN EXPLOITATION;90kV;Seine-Maritime
VLARD;VILLARD;Poste de transformation;EN EXPLOITATION;45kV;Savoie
VLARS;VILLARS (LE);Poste de transformation;EN EXPLOITATION;63kV;Saône-et-Loire
ZPRR5;PIQUAGE PIERREFITTE PEM (LIAISON PRRF5Z32SOULO);Point de piquage;EN EXPLOITATION;63kV;Hautes-Pyrénées
ZPRRF;PIQUAGE PIERREFITTE MITJAVILA (LIAISON PRRF5Z32SOULO);Point de piquage;EN EXPLOITATION;63kV;Hautes-Pyrénées
ZRUPR;PIQUAGE RUPREUX;Point de piquage;EN EXPLOITATION;225kV;Aisne
BOULE;BOULE (LA);Poste de transformation;EN EXPLOITATION;225kV;Yvelines
ZSSL6;PIQUAGE ST LARY (LIAISON ARRE5Z32EGET);Point de piquage;EN EXPLOITATION;63kV;Hautes-Pyrénées
ARRIG;ARRIGHI;Poste de transformation;EN EXPLOITATION;225kV;Val-de-Marne
PORTA;PORTA;Poste de transformation;EN EXPLOITATION;63kV;Pyrénées-Orientales
S.BIS;SUPER-BISSORTE;Poste de transformation;EN EXPLOITATION;400kV;Savoie
ZGAL5;PIQUAGE GALERES A CHELLES (ZGAL5);Point de piquage;EN EXPLOITATION;225kV;Seine-Saint-Denis
COR.P;CORDEMAIS-POSTE;Poste de transformation;EN EXPLOITATION;400kV;Loire-Atlantique
MEREN;MERENS;Poste de transformation;EN EXPLOITATION;225kV;Ariège
MESS5;MESSEMPRE (PORTIQUE);Poste de transformation;EN EXPLOITATION;63kV;Ardennes
VIERZ;VIERZON;Poste de transformation;EN EXPLOITATION;90kV;Cher
VESTR;VESTRIC;Poste de transformation;EN EXPLOITATION;63kV;Gard
VIGNY;VIGNY;Poste de transformation;EN EXPLOITATION;63kV;Val-d'Oise
WANTZ;WANTZENAU;Poste de transformation;EN EXPLOITATION;63kV;Bas-Rhin
C.REA;CHAPELLE-REANVILLE (LA);Poste de transformation;EN EXPLOITATION;90kV;Eure
