statut;geo_point_2d;geo_shape
En exploitation;42.0001331, 8.778594;"{""coordinates"": [[8.7788128, 42.000202], [8.7783752, 42.0000642]], ""type"": ""LineString""}"
En exploitation;42.000045109589934, 8.778312745750855;"{""coordinates"": [[8.7783752, 42.0000642], [8.7782558, 42.0000277], [8.7782526, 42.0000268], [8.7782503, 42.000026]], ""type"": ""LineString""}"
En exploitation;42.00034376882934, 8.77825522748049;"{""coordinates"": [[8.7783525, 42.0003183], [8.7782638, 42.0003402], [8.7782611, 42.0003409], [8.7781586, 42.0003716]], ""type"": ""LineString""}"
En exploitation;41.9819309816652, 8.802798714921593;"{""coordinates"": [[8.8019113, 41.9820332], [8.8022439, 41.9818426], [8.802464, 41.9818485], [8.802466, 41.9818486], [8.8028219, 41.981858], [8.8031657, 41.9819138], [8.8033552, 41.9819513], [8.8036423, 41.9822152]], ""type"": ""LineString""}"
En exploitation;41.98185186786251, 8.804378162255635;"{""coordinates"": [[8.8036423, 41.9822152], [8.8036483, 41.9822148], [8.8038878, 41.9821977], [8.804059, 41.9821854], [8.8044246, 41.9819012], [8.8045562, 41.9817341], [8.8047958, 41.9814302], [8.8050487, 41.9813498]], ""type"": ""LineString""}"
En exploitation;41.98057940129097, 8.803396802524825;"{""coordinates"": [[8.8032584, 41.9807839], [8.8035325, 41.9803789], [8.8035349, 41.9803753], [8.8035352, 41.9803749]], ""type"": ""LineString""}"
En exploitation;41.98219851517547, 8.801260885712612;"{""coordinates"": [[8.8012782, 41.9822915], [8.8012444, 41.98211], [8.8012438, 41.9821061], [8.8012438, 41.9821055]], ""type"": ""LineString""}"
En exploitation;41.982494403733334, 8.800787757723995;"{""coordinates"": [[8.8009493, 41.9825201], [8.8009436, 41.9825191], [8.8006262, 41.9824688]], ""type"": ""LineString""}"
En exploitation;41.982897353642734, 8.799442884678578;"{""coordinates"": [[8.799496, 41.9831037], [8.7993909, 41.9826954], [8.7993907, 41.9826947], [8.7993898, 41.982691]], ""type"": ""LineString""}"
En exploitation;41.98160795, 8.800665200000001;"{""coordinates"": [[8.8007387, 41.9816173], [8.8005917, 41.9815986]], ""type"": ""LineString""}"
En exploitation;41.98184876220165, 8.800246215282273;"{""coordinates"": [[8.8007387, 41.9816173], [8.8003593, 41.9817729], [8.8003553, 41.9817745], [8.7999172, 41.981989], [8.7998756, 41.9821403], [8.7998656, 41.9821772], [8.7998643, 41.9821816]], ""type"": ""LineString""}"
En exploitation;42.00168123972295, 8.782146724615785;"{""coordinates"": [[8.7828709, 42.001307], [8.7824927, 42.0014987], [8.7824729, 42.0015088], [8.7823539, 42.0015691], [8.7821836, 42.0016695], [8.7819289, 42.0018199], [8.7818971, 42.0018387], [8.7814062, 42.0020175]], ""type"": ""LineString""}"
En exploitation;42.00023615803837, 8.782552006048657;"{""coordinates"": [[8.7827087, 42.0007582], [8.7824763, 41.9999843], [8.7823957, 41.999714]], ""type"": ""LineString""}"
En exploitation;42.00100510718536, 8.783365328064118;"{""coordinates"": [[8.7829403, 42.0012652], [8.7832595, 42.0011285], [8.7833086, 42.0010836], [8.7835961, 42.0008208], [8.7837453, 42.0006844], [8.7837491, 42.000681]], ""type"": ""LineString""}"
En exploitation;41.978765361590185, 8.792255791796782;"{""coordinates"": [[8.792726, 41.9788138], [8.7920905, 41.9787504], [8.7917922, 41.9787114], [8.7917863, 41.9787107], [8.7917863, 41.9787107]], ""type"": ""LineString""}"
En exploitation;41.97969129037488, 8.790982662823417;"{""coordinates"": [[8.7911262, 41.9798832], [8.7908449, 41.9795071], [8.7908391, 41.9794994]], ""type"": ""LineString""}"
En exploitation;41.97899517173268, 8.790375686361015;"{""coordinates"": [[8.7902672, 41.9788564], [8.7904732, 41.9791199], [8.7904841, 41.979134]], ""type"": ""LineString""}"
En exploitation;41.980307994516814, 8.79342594523798;"{""coordinates"": [[8.7936874, 41.9801902], [8.7936975, 41.9802065], [8.7931739, 41.9804028], [8.7931373, 41.9804165]], ""type"": ""LineString""}"
En exploitation;41.97829251703095, 8.79428092596872;"{""coordinates"": [[8.7942609, 41.9786208], [8.7942623, 41.9785943], [8.7942949, 41.978021], [8.7943261, 41.9780198], [8.7942951, 41.9780165]], ""type"": ""LineString""}"
En exploitation;41.977900747607556, 8.796735541501267;"{""coordinates"": [[8.7966985, 41.9778938], [8.7967667, 41.9779066], [8.7967685, 41.9779069], [8.7967726, 41.9779076]], ""type"": ""LineString""}"
En exploitation;41.98264033235884, 8.792048811902616;"{""coordinates"": [[8.7921893, 41.9825325], [8.7919123, 41.9827451], [8.7919088, 41.9827487]], ""type"": ""LineString""}"
En exploitation;41.981946165569894, 8.792898222589436;"{""coordinates"": [[8.7927235, 41.9818342], [8.792728, 41.981837], [8.7930684, 41.9820553], [8.79307, 41.9820564], [8.7930729, 41.9820582]], ""type"": ""LineString""}"
En exploitation;41.98182734939479, 8.791001670339616;"{""coordinates"": [[8.7906721, 41.9815347], [8.7906751, 41.9815386], [8.790833, 41.9817407], [8.7908841, 41.9818061], [8.7909086, 41.9818374], [8.7909986, 41.9818741], [8.7910875, 41.9819104], [8.7913327, 41.9819926], [8.7914034, 41.9820079], [8.791407, 41.9820086]], ""type"": ""LineString""}"
En exploitation;41.9984622752568, 8.788002822421632;"{""coordinates"": [[8.7875766, 41.9988566], [8.7875806, 41.9988532], [8.7879744, 41.9985201], [8.7880549, 41.9984521], [8.7880783, 41.9984218], [8.7881144, 41.9983753], [8.7881303, 41.998355], [8.7881454, 41.9983354], [8.7883826, 41.9980301], [8.7883855, 41.9980262]], ""type"": ""LineString""}"
En exploitation;41.96129105, 8.79003675;"{""coordinates"": [[8.7900196, 41.9612191], [8.7900539, 41.961363]], ""type"": ""LineString""}"
En exploitation;41.961938169143494, 8.789942947586185;"{""coordinates"": [[8.7900633, 41.9619314], [8.7898286, 41.9619446], [8.7898235, 41.9619449], [8.7898226, 41.961945]], ""type"": ""LineString""}"
En exploitation;41.962876617971894, 8.790013780676686;"{""coordinates"": [[8.7900633, 41.9619314], [8.7899663, 41.9630023], [8.7900586, 41.9638208]], ""type"": ""LineString""}"
En exploitation;41.963864804126544, 8.78953784576842;"{""coordinates"": [[8.7900586, 41.9638208], [8.7890231, 41.9639083], [8.7890171, 41.9639089]], ""type"": ""LineString""}"
En exploitation;41.9857763, 8.79335425;"{""coordinates"": [[8.7934304, 41.9856083], [8.7932781, 41.9859443]], ""type"": ""LineString""}"
En exploitation;41.98646251169016, 8.790551181196355;"{""coordinates"": [[8.7906776, 41.9863966], [8.7904298, 41.9865258], [8.7904247, 41.9865283]], ""type"": ""LineString""}"
En exploitation;41.986254558001306, 8.789475587214033;"{""coordinates"": [[8.7893109, 41.9859912], [8.7893134, 41.9859952], [8.789616, 41.9864791], [8.7896403, 41.9865179]], ""type"": ""LineString""}"
En exploitation;41.98607505705489, 8.7929023010071;"{""coordinates"": [[8.7934007, 41.9856023], [8.793256, 41.985941], [8.7929152, 41.9861029], [8.7929147, 41.986103], [8.7925032, 41.9862984], [8.7922631, 41.9864125]], ""type"": ""LineString""}"
En exploitation;41.986241755528866, 8.791468975120832;"{""coordinates"": [[8.7922631, 41.9864125], [8.7919492, 41.9862975], [8.791783, 41.9862367], [8.7915937, 41.9861673], [8.7915505, 41.9861515], [8.7913555, 41.9860801], [8.7906886, 41.9863915]], ""type"": ""LineString""}"
En exploitation;41.9699972935771, 8.801323770872143;"{""coordinates"": [[8.8013655, 41.9701307], [8.8013642, 41.9701264], [8.801282, 41.9698639]], ""type"": ""LineString""}"
En exploitation;41.96937175576269, 8.800553829818929;"{""coordinates"": [[8.801282, 41.9698639], [8.8006567, 41.9694412], [8.8002378, 41.9691582], [8.7998546, 41.9688993], [8.7998301, 41.9688827], [8.7998256, 41.9688797]], ""type"": ""LineString""}"
En exploitation;41.97013991333341, 8.7997574679997;"{""coordinates"": [[8.8001548, 41.970367], [8.8001489, 41.9703678], [8.8001071, 41.9703734], [8.7998308, 41.9701199], [8.7993194, 41.9699683]], ""type"": ""LineString""}"
En exploitation;41.970342142259256, 8.800339095662356;"{""coordinates"": [[8.8001548, 41.970367], [8.8001793, 41.9703819], [8.8005265, 41.9702972]], ""type"": ""LineString""}"
En exploitation;41.954557, 8.791090449999999;"{""coordinates"": [[8.7914581, 41.9546961], [8.7907228, 41.9544179]], ""type"": ""LineString""}"
En exploitation;41.954257557084645, 8.790040081882479;"{""coordinates"": [[8.7907228, 41.9544179], [8.789839, 41.9540525], [8.7894857, 41.9545214], [8.7894765, 41.9545336]], ""type"": ""LineString""}"
En exploitation;41.99918889449895, 8.783532319131004;"{""coordinates"": [[8.7842187, 41.9999935], [8.7841649, 41.9999773], [8.7841627, 41.9999767], [8.7837718, 41.9998601], [8.7837658, 41.9998563], [8.7837201, 41.9998272], [8.7834179, 41.9996355], [8.783386, 41.9993705], [8.7833772, 41.9992973], [8.78335, 41.9990719], [8.7833425, 41.9990094], [8.7833318, 41.9989204], [8.7833974, 41.9986292], [8.7834596, 41.998352], [8.7833043, 41.9980644]], ""type"": ""LineString""}"
En exploitation;41.99818258828993, 8.782891410961355;"{""coordinates"": [[8.7824785, 41.9983007], [8.783068, 41.9981321], [8.7832481, 41.9980805], [8.7832987, 41.998066], [8.7833043, 41.9980644]], ""type"": ""LineString""}"
En exploitation;41.99002212743737, 8.81049300752395;"{""coordinates"": [[8.8102028, 41.989421], [8.8103138, 41.9897702], [8.8103833, 41.9899885], [8.8104343, 41.9901492], [8.8106375, 41.9902699], [8.8109753, 41.9904707]], ""type"": ""LineString""}"
En exploitation;41.99057375108601, 8.811227949557296;"{""coordinates"": [[8.8109753, 41.9904707], [8.8114752, 41.9906746], [8.8114806, 41.9906768]], ""type"": ""LineString""}"
En exploitation;41.98570528440477, 8.809173860338431;"{""coordinates"": [[8.8094853, 41.9859755], [8.809481, 41.9859724], [8.8094799, 41.9859716], [8.8091572, 41.9857357], [8.8091024, 41.9856549], [8.8089131, 41.985398], [8.8089073, 41.9853901]], ""type"": ""LineString""}"
En exploitation;41.98714874747235, 8.81084105226465;"{""coordinates"": [[8.8110209, 41.9873101], [8.810665, 41.9869908], [8.8106612, 41.9869874]], ""type"": ""LineString""}"
En exploitation;41.9726854237409, 8.802653431630038;"{""coordinates"": [[8.8030566, 41.9732314], [8.8027634, 41.9730764], [8.8025785, 41.9729731], [8.8026494, 41.9726953], [8.8027394, 41.9723421], [8.8023443, 41.9722646], [8.8022376, 41.972244], [8.8022232, 41.9722412], [8.8022189, 41.9722404]], ""type"": ""LineString""}"
En exploitation;41.97322775990086, 8.804014707404049;"{""coordinates"": [[8.803742, 41.9735369], [8.8039838, 41.9732975], [8.803987, 41.9732928], [8.8042547, 41.9728977], [8.8042574, 41.9728937]], ""type"": ""LineString""}"
En exploitation;41.973055689817656, 8.803007537924147;"{""coordinates"": [[8.803742, 41.9735369], [8.8030687, 41.9732229], [8.8026086, 41.9729616], [8.8027526, 41.972384], [8.8027582, 41.9723611], [8.8027672, 41.97234]], ""type"": ""LineString""}"
En exploitation;41.980353781042744, 8.798359383427945;"{""coordinates"": [[8.7981525, 41.9805362], [8.7985618, 41.9801753], [8.7985663, 41.9801714]], ""type"": ""LineString""}"
En exploitation;41.98145961067517, 8.796897004208695;"{""coordinates"": [[8.7971557, 41.9812057], [8.7969591, 41.9813986], [8.7966421, 41.9817099], [8.7966391, 41.9817129], [8.7966383, 41.9817135]], ""type"": ""LineString""}"
